UserId,ServiceId,CategoryId,CreateDate
25446,4,5,2017-08-06 16:11:00
22948,48,5,2017-08-06 16:12:00
10618,0,8,2017-08-06 16:13:00
7256,9,4,2017-08-06 16:14:00
25446,48,5,2017-08-06 16:16:00
14354,15,1,2017-08-06 16:27:00
14162,21,5,2017-08-06 16:28:00
21230,46,4,2017-08-06 16:34:00
25446,6,7,2017-08-06 16:39:00
10659,4,5,2017-08-06 16:44:00
25446,47,7,2017-08-06 16:44:00
13471,5,11,2017-08-06 16:55:00
15137,11,11,2017-08-06 16:56:00
9036,48,5,2017-08-06 16:56:00
17982,48,5,2017-08-06 16:57:00
25666,12,7,2017-08-06 16:57:00
25666,41,3,2017-08-06 17:00:00
5317,39,10,2017-08-06 17:08:00
14655,48,5,2017-08-06 17:18:00
19662,48,5,2017-08-06 17:20:00
7755,13,11,2017-08-06 17:21:00
9897,17,5,2017-08-06 17:25:00
25446,14,7,2017-08-06 17:36:00
17606,19,6,2017-08-06 17:38:00
5317,39,10,2017-08-06 17:50:00
7052,6,7,2017-08-06 17:51:00
15306,35,11,2017-08-06 18:04:00
18558,1,4,2017-08-06 18:08:00
18558,18,4,2017-08-06 18:18:00
8647,48,5,2017-08-06 18:50:00
17832,18,4,2017-08-06 18:54:00
19662,48,5,2017-08-06 19:37:00
5200,18,4,2017-08-06 19:40:00
5618,18,4,2017-08-06 19:40:00
6851,18,4,2017-08-06 19:40:00
6964,18,4,2017-08-06 19:40:00
7367,18,4,2017-08-06 19:40:00
7630,18,4,2017-08-06 19:40:00
7920,18,4,2017-08-06 19:40:00
7918,18,4,2017-08-06 19:40:00
8253,18,4,2017-08-06 19:40:00
8957,18,4,2017-08-06 19:40:00
9328,18,4,2017-08-06 19:40:00
9587,18,4,2017-08-06 19:40:00
9523,18,4,2017-08-06 19:40:00
9838,18,4,2017-08-06 19:40:00
9843,18,4,2017-08-06 19:40:00
10281,18,4,2017-08-06 19:40:00
10807,18,4,2017-08-06 19:40:00
11159,18,4,2017-08-06 19:40:00
11204,18,4,2017-08-06 19:40:00
11215,18,4,2017-08-06 19:40:00
11238,18,4,2017-08-06 19:40:00
11420,18,4,2017-08-06 19:40:00
11626,18,4,2017-08-06 19:40:00
11702,18,4,2017-08-06 19:40:00
5143,18,4,2017-08-06 19:40:00
12483,18,4,2017-08-06 19:40:00
12760,18,4,2017-08-06 19:40:00
12765,18,4,2017-08-06 19:40:00
13095,18,4,2017-08-06 19:40:00
12950,18,4,2017-08-06 19:40:00
13164,18,4,2017-08-06 19:40:00
13171,18,4,2017-08-06 19:40:00
13452,18,4,2017-08-06 19:40:00
13553,18,4,2017-08-06 19:40:00
13642,18,4,2017-08-06 19:40:00
13756,18,4,2017-08-06 19:40:00
5144,18,4,2017-08-06 19:40:00
14128,18,4,2017-08-06 19:40:00
14583,18,4,2017-08-06 19:40:00
15035,18,4,2017-08-06 19:40:00
15520,18,4,2017-08-06 19:40:00
15136,18,4,2017-08-06 19:40:00
15603,18,4,2017-08-06 19:40:00
15774,18,4,2017-08-06 19:40:00
16109,18,4,2017-08-06 19:40:00
16425,18,4,2017-08-06 19:40:00
16872,18,4,2017-08-06 19:40:00
17629,18,4,2017-08-06 19:40:00
18522,18,4,2017-08-06 19:40:00
18795,18,4,2017-08-06 19:40:00
19824,18,4,2017-08-06 19:40:00
20387,18,4,2017-08-06 19:40:00
20719,18,4,2017-08-06 19:40:00
21786,18,4,2017-08-06 19:40:00
21537,18,4,2017-08-06 19:40:00
21978,18,4,2017-08-06 19:40:00
22263,18,4,2017-08-06 19:40:00
23396,18,4,2017-08-06 19:40:00
23467,18,4,2017-08-06 19:40:00
23668,18,4,2017-08-06 19:40:00
23967,18,4,2017-08-06 19:40:00
24245,18,4,2017-08-06 19:40:00
25146,18,4,2017-08-06 19:40:00
25531,18,4,2017-08-06 19:40:00
11033,0,8,2017-08-06 19:41:00
18954,39,10,2017-08-06 19:44:00
9347,13,11,2017-08-06 21:09:00
20312,13,11,2017-08-06 23:10:00
11764,46,4,2017-08-06 23:36:00
15705,13,11,2017-08-07 00:31:00
21857,2,0,2017-08-07 00:53:00
21857,19,6,2017-08-07 01:09:00
16911,48,5,2017-08-07 01:12:00
8266,14,7,2017-08-07 01:18:00
22887,48,5,2017-08-07 01:30:00
22053,14,7,2017-08-07 01:45:00
17555,23,10,2017-08-07 01:53:00
11544,48,5,2017-08-07 01:55:00
25077,49,1,2017-08-07 01:56:00
20038,18,4,2017-08-07 02:04:00
8723,46,4,2017-08-07 02:09:00
8723,38,4,2017-08-07 02:10:00
20041,49,1,2017-08-07 02:15:00
6981,46,4,2017-08-07 02:30:00
7889,14,7,2017-08-07 02:32:00
6981,2,0,2017-08-07 02:32:00
7889,41,3,2017-08-07 02:34:00
7889,17,5,2017-08-07 02:35:00
7889,48,5,2017-08-07 02:36:00
6909,33,4,2017-08-07 02:41:00
17593,49,1,2017-08-07 02:41:00
8050,49,1,2017-08-07 02:53:00
19904,19,6,2017-08-07 03:04:00
10868,46,4,2017-08-07 03:13:00
11764,29,0,2017-08-07 03:13:00
19091,48,5,2017-08-07 03:20:00
15896,48,5,2017-08-07 03:25:00
16911,48,5,2017-08-07 03:26:00
15988,17,5,2017-08-07 03:46:00
16248,46,4,2017-08-07 03:53:00
17716,49,1,2017-08-07 04:02:00
12191,46,4,2017-08-07 04:04:00
9929,18,4,2017-08-07 04:10:00
6852,3,5,2017-08-07 04:14:00
15312,46,4,2017-08-07 04:15:00
6221,2,0,2017-08-07 04:16:00
6852,17,5,2017-08-07 04:16:00
16650,12,7,2017-08-07 04:18:00
13521,17,5,2017-08-07 04:19:00
16662,31,6,2017-08-07 04:23:00
7825,45,6,2017-08-07 04:25:00
19064,13,11,2017-08-07 04:26:00
15826,6,7,2017-08-07 04:27:00
12206,18,4,2017-08-07 04:31:00
7278,48,5,2017-08-07 04:32:00
24772,18,4,2017-08-07 04:36:00
22948,48,5,2017-08-07 04:39:00
10659,4,5,2017-08-07 04:42:00
9867,18,4,2017-08-07 04:45:00
11544,48,5,2017-08-07 04:47:00
7635,41,3,2017-08-07 04:48:00
7237,31,6,2017-08-07 04:52:00
15207,18,4,2017-08-07 04:53:00
22959,35,11,2017-08-07 04:57:00
22959,11,11,2017-08-07 05:03:00
25446,17,5,2017-08-07 05:03:00
25446,3,5,2017-08-07 05:09:00
21608,15,1,2017-08-07 05:13:00
25446,4,5,2017-08-07 05:14:00
21608,2,0,2017-08-07 05:14:00
12948,45,6,2017-08-07 05:19:00
13191,1,4,2017-08-07 05:21:00
12660,18,4,2017-08-07 05:25:00
11458,48,5,2017-08-07 05:28:00
20754,19,6,2017-08-07 05:32:00
5537,18,4,2017-08-07 05:38:00
15907,46,4,2017-08-07 05:39:00
25526,19,6,2017-08-07 05:40:00
25686,48,5,2017-08-07 05:40:00
9291,5,11,2017-08-07 05:41:00
19990,18,4,2017-08-07 05:42:00
8824,15,1,2017-08-07 05:45:00
9291,48,5,2017-08-07 05:48:00
10997,5,11,2017-08-07 05:48:00
10997,11,11,2017-08-07 05:52:00
23488,2,0,2017-08-07 05:53:00
12873,18,4,2017-08-07 05:53:00
15762,20,5,2017-08-07 05:54:00
13763,15,1,2017-08-07 05:55:00
6037,48,5,2017-08-07 05:57:00
14943,44,0,2017-08-07 06:02:00
15907,41,3,2017-08-07 06:03:00
15907,7,3,2017-08-07 06:04:00
18819,31,6,2017-08-07 06:09:00
14663,46,4,2017-08-07 06:11:00
20100,18,4,2017-08-07 06:11:00
17462,38,4,2017-08-07 06:12:00
15436,5,11,2017-08-07 06:16:00
23815,2,0,2017-08-07 06:19:00
21940,49,1,2017-08-07 06:20:00
17314,18,4,2017-08-07 06:20:00
16196,49,1,2017-08-07 06:21:00
18797,18,4,2017-08-07 06:23:00
21240,2,0,2017-08-07 06:26:00
7775,35,11,2017-08-07 06:31:00
15323,39,10,2017-08-07 06:31:00
21447,18,4,2017-08-07 06:33:00
12398,46,4,2017-08-07 06:34:00
23537,48,5,2017-08-07 06:47:00
5368,46,4,2017-08-07 06:48:00
23537,0,8,2017-08-07 06:49:00
7221,9,4,2017-08-07 06:52:00
7121,5,11,2017-08-07 06:54:00
15705,48,5,2017-08-07 06:59:00
12725,23,10,2017-08-07 07:01:00
21452,31,6,2017-08-07 07:09:00
18954,39,10,2017-08-07 07:13:00
7402,38,4,2017-08-07 07:18:00
10563,21,5,2017-08-07 07:27:00
14770,25,0,2017-08-07 07:27:00
9879,14,7,2017-08-07 07:29:00
17565,38,4,2017-08-07 07:30:00
17565,48,5,2017-08-07 07:33:00
20576,48,5,2017-08-07 07:33:00
13090,49,1,2017-08-07 07:35:00
21177,46,4,2017-08-07 07:36:00
16662,31,6,2017-08-07 07:39:00
18982,2,0,2017-08-07 07:41:00
15562,35,11,2017-08-07 07:42:00
21857,2,0,2017-08-07 07:43:00
18982,25,0,2017-08-07 07:44:00
13090,49,1,2017-08-07 07:46:00
18490,8,5,2017-08-07 07:50:00
16612,46,4,2017-08-07 07:50:00
21857,37,0,2017-08-07 07:53:00
19725,46,4,2017-08-07 07:54:00
13090,49,1,2017-08-07 08:00:00
23005,32,4,2017-08-07 08:09:00
25061,2,0,2017-08-07 08:13:00
16539,48,5,2017-08-07 08:15:00
25061,22,0,2017-08-07 08:16:00
5676,2,0,2017-08-07 08:21:00
19214,48,5,2017-08-07 08:23:00
10735,48,5,2017-08-07 08:29:00
14703,46,4,2017-08-07 08:33:00
14703,15,1,2017-08-07 08:34:00
24815,48,5,2017-08-07 08:37:00
16707,3,5,2017-08-07 08:39:00
21492,48,5,2017-08-07 08:40:00
24815,34,6,2017-08-07 08:40:00
16707,3,5,2017-08-07 08:40:00
8398,15,1,2017-08-07 08:40:00
16967,18,4,2017-08-07 08:42:00
16794,15,1,2017-08-07 08:47:00
16587,30,2,2017-08-07 08:51:00
7598,48,5,2017-08-07 08:55:00
14655,48,5,2017-08-07 08:57:00
16587,43,2,2017-08-07 08:57:00
16911,48,5,2017-08-07 08:57:00
14655,32,4,2017-08-07 08:59:00
16587,17,5,2017-08-07 09:00:00
21887,48,5,2017-08-07 09:00:00
16288,48,5,2017-08-07 09:00:00
25156,25,0,2017-08-07 09:02:00
18903,31,6,2017-08-07 09:03:00
21603,46,4,2017-08-07 09:05:00
21310,0,8,2017-08-07 09:05:00
25173,0,8,2017-08-07 09:13:00
20666,46,4,2017-08-07 09:15:00
6066,48,5,2017-08-07 09:20:00
25175,0,8,2017-08-07 09:22:00
13090,49,1,2017-08-07 09:26:00
20170,14,7,2017-08-07 09:31:00
24127,44,0,2017-08-07 09:32:00
20170,14,7,2017-08-07 09:40:00
7925,48,5,2017-08-07 09:47:00
25173,0,8,2017-08-07 09:48:00
23158,23,10,2017-08-07 09:56:00
22064,32,4,2017-08-07 09:57:00
7186,5,11,2017-08-07 10:00:00
14710,19,6,2017-08-07 10:02:00
12734,13,11,2017-08-07 10:04:00
15063,18,4,2017-08-07 10:08:00
21429,33,4,2017-08-07 10:43:00
15614,26,7,2017-08-07 10:45:00
7635,41,3,2017-08-07 10:59:00
16196,38,4,2017-08-07 11:01:00
16196,9,4,2017-08-07 11:03:00
13178,3,5,2017-08-07 11:05:00
17156,48,5,2017-08-07 11:07:00
6009,26,7,2017-08-07 11:08:00
11779,49,1,2017-08-07 11:11:00
13830,9,4,2017-08-07 11:16:00
18903,48,5,2017-08-07 11:18:00
22216,38,4,2017-08-07 11:18:00
6360,46,4,2017-08-07 11:20:00
21410,2,0,2017-08-07 11:34:00
6912,18,4,2017-08-07 11:35:00
21410,19,6,2017-08-07 11:36:00
6912,18,4,2017-08-07 11:36:00
5800,23,10,2017-08-07 11:38:00
15614,38,4,2017-08-07 11:44:00
20565,18,4,2017-08-07 11:49:00
8454,2,0,2017-08-07 11:50:00
8454,35,11,2017-08-07 11:54:00
16189,44,0,2017-08-07 11:55:00
21379,25,0,2017-08-07 11:57:00
23512,11,11,2017-08-07 11:57:00
16189,2,0,2017-08-07 11:58:00
17057,46,4,2017-08-07 12:04:00
9817,18,4,2017-08-07 12:12:00
19815,22,0,2017-08-07 12:15:00
7043,2,0,2017-08-07 12:19:00
9817,38,4,2017-08-07 12:22:00
7043,15,1,2017-08-07 12:22:00
7043,38,4,2017-08-07 12:23:00
9817,2,0,2017-08-07 12:24:00
9817,32,4,2017-08-07 12:25:00
20170,14,7,2017-08-07 12:29:00
11263,15,1,2017-08-07 12:30:00
9969,14,7,2017-08-07 12:30:00
5496,48,5,2017-08-07 12:31:00
25136,33,4,2017-08-07 12:31:00
23512,29,0,2017-08-07 12:33:00
19200,5,11,2017-08-07 12:36:00
19200,15,1,2017-08-07 12:38:00
19200,21,5,2017-08-07 12:39:00
5883,46,4,2017-08-07 12:39:00
13487,20,5,2017-08-07 12:42:00
19424,11,11,2017-08-07 12:44:00
18675,31,6,2017-08-07 12:44:00
24981,15,1,2017-08-07 12:44:00
7158,18,4,2017-08-07 12:48:00
6289,46,4,2017-08-07 12:48:00
19424,29,0,2017-08-07 12:49:00
9250,47,7,2017-08-07 12:50:00
19424,25,0,2017-08-07 12:51:00
13930,48,5,2017-08-07 12:59:00
23606,49,1,2017-08-07 13:07:00
21447,14,7,2017-08-07 13:09:00
9511,46,4,2017-08-07 13:09:00
5853,48,5,2017-08-07 13:11:00
15742,25,0,2017-08-07 13:13:00
21447,4,5,2017-08-07 13:15:00
8145,49,1,2017-08-07 13:15:00
9969,17,5,2017-08-07 13:20:00
13666,46,4,2017-08-07 13:22:00
21359,22,0,2017-08-07 13:27:00
5283,31,6,2017-08-07 13:30:00
10608,48,5,2017-08-07 13:33:00
10608,38,4,2017-08-07 13:35:00
23161,47,7,2017-08-07 13:36:00
17248,17,5,2017-08-07 13:36:00
23161,12,7,2017-08-07 13:38:00
10338,49,1,2017-08-07 13:38:00
10338,46,4,2017-08-07 13:41:00
11725,2,0,2017-08-07 13:44:00
15115,15,1,2017-08-07 13:44:00
9817,13,11,2017-08-07 13:45:00
9817,5,11,2017-08-07 13:46:00
6108,48,5,2017-08-07 13:47:00
9817,46,4,2017-08-07 13:48:00
15115,43,2,2017-08-07 13:48:00
11725,49,1,2017-08-07 13:48:00
8753,31,6,2017-08-07 13:49:00
6108,47,7,2017-08-07 13:49:00
6108,4,5,2017-08-07 13:50:00
17412,9,4,2017-08-07 13:51:00
21158,19,6,2017-08-07 13:52:00
9671,29,0,2017-08-07 13:58:00
11806,13,11,2017-08-07 14:13:00
19850,46,4,2017-08-07 14:14:00
24877,15,1,2017-08-07 14:26:00
20183,35,11,2017-08-07 14:28:00
20576,48,5,2017-08-07 14:28:00
10402,48,5,2017-08-07 14:31:00
13847,48,5,2017-08-07 14:38:00
13918,15,1,2017-08-07 14:38:00
21197,38,4,2017-08-07 14:39:00
9969,14,7,2017-08-07 14:40:00
16167,28,4,2017-08-07 14:46:00
10402,47,7,2017-08-07 14:46:00
10402,6,7,2017-08-07 14:47:00
9250,48,5,2017-08-07 14:48:00
24784,47,7,2017-08-07 14:52:00
23912,12,7,2017-08-07 14:56:00
18675,19,6,2017-08-07 14:59:00
23842,30,2,2017-08-07 15:07:00
11339,48,5,2017-08-07 15:08:00
23577,46,4,2017-08-07 15:08:00
12943,6,7,2017-08-07 15:26:00
20421,15,1,2017-08-07 15:28:00
13606,49,1,2017-08-07 15:29:00
24718,16,8,2017-08-07 15:35:00
14669,49,1,2017-08-07 15:36:00
25148,31,6,2017-08-07 15:36:00
11177,7,3,2017-08-07 15:37:00
9026,18,4,2017-08-07 15:37:00
25148,25,0,2017-08-07 15:38:00
11541,38,4,2017-08-07 15:41:00
25148,2,0,2017-08-07 15:41:00
14900,32,4,2017-08-07 15:42:00
17982,48,5,2017-08-07 15:43:00
13505,12,7,2017-08-07 15:44:00
9397,11,11,2017-08-07 15:44:00
25148,39,10,2017-08-07 15:48:00
9397,23,10,2017-08-07 15:48:00
25148,11,11,2017-08-07 15:49:00
20078,12,7,2017-08-07 15:53:00
25498,25,0,2017-08-07 15:53:00
10367,12,7,2017-08-07 15:53:00
25446,17,5,2017-08-07 15:57:00
19662,48,5,2017-08-07 16:02:00
19424,31,6,2017-08-07 16:03:00
19424,48,5,2017-08-07 16:05:00
19424,17,5,2017-08-07 16:09:00
10677,36,1,2017-08-07 16:13:00
11339,6,7,2017-08-07 16:13:00
11339,47,7,2017-08-07 16:14:00
11339,12,7,2017-08-07 16:14:00
20823,27,7,2017-08-07 16:19:00
13471,5,11,2017-08-07 16:23:00
13191,13,11,2017-08-07 16:24:00
10089,11,11,2017-08-07 16:26:00
13191,1,4,2017-08-07 16:27:00
15747,23,10,2017-08-07 16:35:00
10534,6,7,2017-08-07 16:39:00
23749,6,7,2017-08-07 16:41:00
23749,12,7,2017-08-07 16:43:00
20090,48,5,2017-08-07 16:43:00
23749,48,5,2017-08-07 16:45:00
23749,32,4,2017-08-07 16:46:00
15614,26,7,2017-08-07 16:48:00
10534,48,5,2017-08-07 16:48:00
13794,7,3,2017-08-07 16:50:00
18412,26,7,2017-08-07 16:51:00
19064,13,11,2017-08-07 16:54:00
23749,37,0,2017-08-07 16:55:00
12076,38,4,2017-08-07 16:59:00
18955,3,5,2017-08-07 17:05:00
6240,0,8,2017-08-07 17:12:00
6762,9,4,2017-08-07 17:15:00
13536,15,1,2017-08-07 17:22:00
19379,32,4,2017-08-07 17:23:00
18636,48,5,2017-08-07 17:23:00
13536,1,4,2017-08-07 17:24:00
18636,6,7,2017-08-07 17:27:00
11266,2,0,2017-08-07 17:35:00
13536,42,1,2017-08-07 17:39:00
11799,35,11,2017-08-07 17:45:00
15292,2,0,2017-08-07 17:52:00
15292,6,7,2017-08-07 17:54:00
19662,48,5,2017-08-07 17:55:00
19662,17,5,2017-08-07 17:58:00
15131,2,0,2017-08-07 18:11:00
20732,25,0,2017-08-07 18:16:00
20160,48,5,2017-08-07 18:16:00
11544,48,5,2017-08-07 18:22:00
11033,44,0,2017-08-07 18:52:00
11033,37,0,2017-08-07 18:53:00
11033,22,0,2017-08-07 18:54:00
11033,24,10,2017-08-07 18:57:00
11033,29,0,2017-08-07 18:58:00
11033,25,0,2017-08-07 18:59:00
11033,11,11,2017-08-07 19:00:00
23924,31,6,2017-08-07 19:02:00
16039,34,6,2017-08-07 19:22:00
5304,18,4,2017-08-07 19:37:00
6246,18,4,2017-08-07 19:37:00
6598,18,4,2017-08-07 19:37:00
6595,18,4,2017-08-07 19:37:00
6717,18,4,2017-08-07 19:37:00
6786,18,4,2017-08-07 19:37:00
6994,18,4,2017-08-07 19:37:00
7301,18,4,2017-08-07 19:37:00
7103,18,4,2017-08-07 19:37:00
7613,18,4,2017-08-07 19:37:00
8103,18,4,2017-08-07 19:37:00
8549,18,4,2017-08-07 19:37:00
8954,18,4,2017-08-07 19:37:00
9076,18,4,2017-08-07 19:37:00
9349,18,4,2017-08-07 19:37:00
9500,18,4,2017-08-07 19:37:00
9891,18,4,2017-08-07 19:37:00
9942,18,4,2017-08-07 19:37:00
9963,18,4,2017-08-07 19:37:00
10051,18,4,2017-08-07 19:37:00
10312,18,4,2017-08-07 19:37:00
10465,18,4,2017-08-07 19:37:00
10559,18,4,2017-08-07 19:37:00
10961,18,4,2017-08-07 19:37:00
11137,18,4,2017-08-07 19:37:00
11439,18,4,2017-08-07 19:37:00
11653,18,4,2017-08-07 19:37:00
12516,18,4,2017-08-07 19:37:00
12222,18,4,2017-08-07 19:37:00
13065,18,4,2017-08-07 19:37:00
13542,18,4,2017-08-07 19:37:00
13250,18,4,2017-08-07 19:37:00
13586,18,4,2017-08-07 19:37:00
13887,18,4,2017-08-07 19:37:00
14342,18,4,2017-08-07 19:37:00
14571,18,4,2017-08-07 19:37:00
14761,18,4,2017-08-07 19:37:00
15452,18,4,2017-08-07 19:37:00
16019,18,4,2017-08-07 19:37:00
15660,18,4,2017-08-07 19:37:00
15793,18,4,2017-08-07 19:37:00
16125,18,4,2017-08-07 19:37:00
16678,18,4,2017-08-07 19:37:00
16734,18,4,2017-08-07 19:37:00
17232,18,4,2017-08-07 19:37:00
17442,18,4,2017-08-07 19:37:00
